sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
233.0,1,13.110074050528404,36,379.0,8.23913043478261,2.5260823297367936
234.0,0,12.435079662322543,36,415.0,9.021739130434783,2.365069026800011
235.0,0,11.681283988431023,36,451.0,9.804347826086957,2.179123669154515
236.0,0,13.804765436250515,38,489.0,10.630434782608695,1.9707824680653097
237.0,1,18.714268097947475,38,527.0,11.71111111111111,1.3102495372632372
238.0,0,10.648961219872918,38,565.0,12.02127659574468,1.644038777309949
239.0,1,5.333485429449725,40,605.0,12.604166666666666,1.6453033933388337
240.0,1,2.8741913598911797,40,645.0,13.72340425531915,1.284207600988932
241.0,0,2.808485931403468,41,686.0,14.0,1.7509072375059354
242.0,0,5.63702577699928,42,728.0,14.857142857142858,1.7385874122238427
243.0,1,6.643194570464452,42,770.0,16.041666666666668,1.4378651655869745
244.0,0,14.985091077626237,42,812.0,16.916666666666668,1.1582801045336641
245.0,0,24.86653870678651,42,854.0,17.791666666666668,0.6402272148089451
246.0,0,21.021777888940736,42,896.0,18.666666666666668,0.20227777772867558
247.0,0,6.848676066441157,43,939.0,19.5625,0.05959783775562324
248.0,0,1.7450864508895922,44,983.0,19.66,0.6030863214650308
249.0,0,2.813861982555535,47,1030.0,19.807692307692307,0.9498076128925393
250.0,0,2.432841586717387,48,1078.0,20.73076923076923,0.9551723908413365
251.0,0,7.830395082225573,46,1081.0,20.78846153846154,1.0006174038824915
252.0,0,10.323253957817617,46,1127.0,21.673076923076923,0.9747223522242942
253.0,0,15.72081965515013,46,1173.0,20.946428571428573,1.7914557121751689
254.0,0,21.460569007680725,46,1219.0,21.017241379310345,1.8628891436785493
255.0,0,21.521036174311035,46,1265.0,21.810344827586206,1.6557406457716068
256.0,0,19.487486934534424,47,1312.0,22.620689655172413,1.5103952227612945
257.0,0,13.607084719150238,48,1360.0,23.448275862068964,1.4662492525599922
258.0,0,8.691865994992893,51,1411.0,24.32758620689655,1.3590356878675038
259.0,0,6.502647552493257,50,1362.0,22.7,1.8548822663223774
260.0,0,10.415880797871022,48,1315.0,21.20967741935484,2.2382557269912895
261.0,0,13.050988377014738,46,1278.0,20.612903225806452,2.382376464751236
262.0,0,26.41832610728357,44,1242.0,20.032258064516128,2.400637630022067
263.0,0,41.832317551944215,42,1219.0,19.661290322580644,2.252869826512575
264.0,1,46.71293274351841,40,1195.0,19.59016393442623,1.9481139312801168
265.0,0,41.288592942828416,38,1181.0,18.746031746031747,2.3193463266618077
266.0,1,30.904984557809694,38,1170.0,18.870967741935484,2.2662790383263856
267.0,0,37.28130632969966,38,1188.0,19.161290322580644,2.4190307948394425
268.0,0,34.00787055497155,40,1208.0,19.483870967741936,2.594176341169366
269.0,0,34.322012608837426,40,1209.0,18.890625,3.194753542203242
270.0,0,26.87282138856282,39,1221.0,18.5,3.5707422924231054
271.0,0,32.363466929036925,37,1233.0,18.681818181818183,3.8388078708516162
272.0,0,37.232682479644005,36,1258.0,19.060606060606062,4.010587337524517
273.0,1,38.98572888714733,34,1283.0,19.73846153846154,3.84583063963746
274.0,2,33.735627578299756,34,1317.0,20.904761904761905,3.710529468169196
275.0,1,30.18407652489417,34,1351.0,21.79032258064516,3.888907257443244
276.0,0,29.1206371521209,34,1385.0,22.338709677419356,4.252574742404295
277.0,2,27.03237679981293,34,1419.0,22.887096774193548,4.470267558457271
278.0,1,26.98919316045854,34,1453.0,23.81967213114754,4.5687584012582105
279.0,1,31.956482067718355,34,1487.0,23.983870967741936,4.825309156403085
280.0,0,32.524140524546134,34,1521.0,23.765625,4.9582567602077585
281.0,3,28.752037033767152,35,1556.0,25.508196721311474,4.5620906452561005
282.0,1,24.173225115039198,35,1591.0,26.516666666666666,4.586500870226787
283.0,0,15.801061570168338,36,1627.0,27.116666666666667,4.693428087787843
284.0,0,18.905926039693842,36,1663.0,27.716666666666665,4.938672567972287
285.0,1,13.418627375869331,36,1699.0,28.796610169491526,4.935503200930316
286.0,3,12.300041596073763,36,1735.0,30.982142857142858,4.586516318368796
287.0,0,8.673111205173,36,1771.0,31.625,4.675742871663247
288.0,2,7.526832890960906,36,1807.0,33.46296296296296,4.280519557925098
289.0,1,9.525723947332434,36,1843.0,31.23728813559322,4.910521844031734
290.0,2,14.525957539159531,36,1879.0,30.80327868852459,4.968585085601107
291.0,1,20.859012297410633,36,1915.0,30.887096774193548,4.908111455461428
292.0,1,23.088805132761944,36,1951.0,31.983606557377048,4.731770930162579
293.0,0,16.872695801384964,36,1987.0,32.57377049180328,4.647870995502153
294.0,0,20.767271136626764,36,1867.0,30.60655737704918,4.634014378174792
295.0,1,24.22654035100193,34,1748.0,29.133333333333333,4.411169852220737
296.0,2,21.18743914035513,33,1630.0,28.103448275862068,4.258429732517583
297.0,2,22.74464242241355,31,1509.0,26.946428571428573,4.132520757881032
298.0,0,29.078502498553974,30,1387.0,24.767857142857142,4.211382442967309
299.0,0,45.92869729019915,28,1266.0,22.607142857142858,4.088904591037535
300.0,1,60.01571991498008,26,1144.0,20.07017543859649,3.822243605807094
